"method","I","B","C","G","seed","lp","projection","runtime","EI_Z","EI_V","MAE_Z","MAE_V","MAE_p"
"mvn_pdf",100,50,10,8,1,"",TRUE,3.228226963,23.8654459514239,6.93009398420917,0.596636148785596,8.66261748026146,0.0156094346512677
"mvn_pdf",100,50,10,8,1,"lp",TRUE,3.512650277,24.2764573587903,7.66911372788032,0.606911433969759,9.5863921598504,0.0172456369830769
"mvn_pdf",100,50,10,8,1,"lp",FALSE,3.240231271,23.7053800538895,6.94533584835079,0.592634501347237,8.68166981043848,0.0156094346512677
"mvn_pdf",100,50,10,8,1,"project_lp",TRUE,7.032406428,25.8359994909783,10.0723795997213,0.645899987274454,12.5904744996516,0.0215184994690158
"mvn_pdf",100,50,10,8,1,"project_lp",FALSE,3.227062891,23.7222513233881,6.97469903071747,0.593056283084704,8.71837378839683,0.0156094346512677
"mvn_pdf",100,50,10,8,2,"",TRUE,3.219585147,23.8654226864303,7.94545759258342,0.596635567160759,9.93182199072928,0.0202374013387308
"mvn_pdf",100,50,10,8,2,"lp",TRUE,7.736948132,24.4495497924634,8.85131183279422,0.611238744811586,11.0641397909928,0.0211007292710296
"mvn_pdf",100,50,10,8,2,"lp",FALSE,3.232110729,23.8756489289658,7.86829593103085,0.596891223224146,9.83536991378856,0.0202374013387308
"mvn_pdf",100,50,10,8,2,"project_lp",TRUE,5.086656841,24.2941148266877,8.71772453412062,0.607352870667191,10.8971556676508,0.0207327060328671
"mvn_pdf",100,50,10,8,2,"project_lp",FALSE,3.220710474,23.8575171076029,7.87544589647941,0.596437927690072,9.84430737059927,0.0202374013387308
"mvn_pdf",100,50,10,8,3,"",TRUE,3.621565383,21.8159703544118,7.28802421009396,0.545399258860295,9.11003026261745,0.0153339888039677
"mvn_pdf",100,50,10,8,3,"lp",TRUE,6.44380067,22.3706006790914,7.73820604625189,0.559265016977283,9.67275755781486,0.0166535445796369
"mvn_pdf",100,50,10,8,3,"lp",FALSE,3.642921176,21.7573370666135,7.18613269231746,0.543933426665338,8.98266586539682,0.0153339888039677
"mvn_pdf",100,50,10,8,3,"project_lp",TRUE,6.814294751,22.5331254749457,8.10987706863702,0.563328136873643,10.1373463357963,0.0172959923531327
"mvn_pdf",100,50,10,8,3,"project_lp",FALSE,3.625356038,21.7920618709521,7.19878171700802,0.544801546773802,8.99847714626002,0.0153339888039677
"mvn_pdf",100,50,10,8,4,"",TRUE,4.237778163,21.8891138390811,5.71960153497457,0.547227845977028,7.14950191871821,0.0152548498355483
"mvn_pdf",100,50,10,8,4,"lp",TRUE,4.226497997,22.7837987693338,6.79091585406134,0.569594969233345,8.48864481757668,0.0168759639659812
"mvn_pdf",100,50,10,8,4,"lp",FALSE,4.218037565,21.8091278782256,5.52519720804096,0.545228196955639,6.9064965100512,0.0152548498355483
"mvn_pdf",100,50,10,8,4,"project_lp",TRUE,4.293737628,22.5925241123721,6.81033309333762,0.564813102809299,8.51291636667202,0.0180930874391287
"mvn_pdf",100,50,10,8,4,"project_lp",FALSE,4.225189031,21.810785454442,5.57501367344639,0.545269636361047,6.96876709180799,0.0152548498355483
"mvn_pdf",100,50,10,8,5,"",TRUE,3.204796857,23.1178495224955,6.46720245659387,0.577946238062386,8.08400307074233,0.0148811551556403
"mvn_pdf",100,50,10,8,5,"lp",TRUE,9.611277031,24.5881320540349,8.21210249842133,0.614703301350873,10.2651281230267,0.019253621177267
"mvn_pdf",100,50,10,8,5,"lp",FALSE,3.228768204,22.9994317391547,6.3268269326056,0.574985793478866,7.908533665757,0.0148811551556403
